Datetime,Température
2005-01-01,48.1
2005-01-02,50.9
2005-01-03,55.8
2005-01-04,42.5
2005-01-05,36.3
2005-01-06,33.5
2005-01-07,29.0
2005-01-08,32.6
2005-01-09,35.7
2005-01-10,37.8
2005-01-11,41.6
2005-01-12,58.2
2005-01-13,59.3
2005-01-14,29.7
2005-01-15,21.1
2005-01-16,18.8
2005-01-17,7.5
2005-01-18,6.1
2005-01-19,23.9
2005-01-20,25.4
2005-01-21,15.3
2005-01-22,19.4
2005-01-23,6.2
2005-01-24,12.6
2005-01-25,27.8
2005-01-26,35.5
2005-01-27,14.9
2005-01-28,13.3
2005-01-29,27.4
2005-01-30,30.0
2005-01-31,19.1
2005-02-01,21.8
2005-02-02,22.7
2005-02-03,27.9
2005-02-04,31.6
2005-02-05,36.3
2005-02-06,39.1
2005-02-07,44.7
2005-02-08,45.2
2005-02-09,35.6
2005-02-10,27.5
2005-02-11,24.9
2005-02-12,35.9
2005-02-13,37.6
2005-02-14,46.4
2005-02-15,47.6
2005-02-16,39.7
2005-02-17,28.2
2005-02-18,22.2
2005-02-19,23.9
2005-02-20,34.9
2005-02-21,42.5
2005-02-22,35.0
2005-02-23,30.3
2005-02-24,27.8
2005-02-25,24.4
2005-02-26,34.2
2005-02-27,28.8
2005-02-28,36.8
2005-03-01,26.6
2005-03-02,21.1
2005-03-03,22.4
2005-03-04,26.9
2005-03-05,35.3
2005-03-06,39.6
2005-03-07,50.4
2005-03-08,27.0
2005-03-09,22.5
2005-03-10,23.1
2005-03-11,32.3
2005-03-12,29.6
2005-03-13,27.4
2005-03-14,29.2
2005-03-15,33.0
2005-03-16,33.0
2005-03-17,40.3
2005-03-18,44.3
2005-03-19,44.8
2005-03-20,37.5
2005-03-21,33.9
2005-03-22,36.0
2005-03-23,36.7
2005-03-24,35.0
2005-03-25,39.7
2005-03-26,40.2
2005-03-27,40.2
2005-03-28,42.8
2005-03-29,44.4
2005-03-30,56.3
2005-03-31,60.8
2005-04-01,47.6
2005-04-02,39.5
2005-04-03,43.7
2005-04-04,50.9
2005-04-05,60.0
2005-04-06,64.6
2005-04-07,60.7
2005-04-08,49.8
2005-04-09,49.8
